Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation
783,鱗甲龍,Dragon,Fighting,420,55,75,90,65,70,65,7
784,杖尾鱗甲龍,Dragon,Fighting,600,75,110,125,100,105,85,7
785,卡璞?鳴鳴,Electric,Fairy,570,70,115,85,95,75,130,7
786,卡璞?蝶蝶,Psychic,Fairy,570,70,85,75,130,115,95,7
787,卡璞?哞哞,Grass,Fairy,570,70,130,115,85,95,75,7
788,卡璞?鰭鰭,Water,Fairy,570,70,75,115,95,130,85,7
789,科斯莫古,Psychic,,200,43,29,31,29,31,37,7
790,科斯莫姆,Psychic,,400,43,29,131,29,131,37,7
791,索爾迦雷歐,Psychic,Steel,680,137,137,107,113,89,97,7
792,露奈雅拉,Psychic,Ghost,680,137,113,89,137,107,97,7
793,虛吾伊德,Rock,Poison,570,109,53,47,127,131,103,7
794,爆肌蚊,Bug,Fighting,570,107,139,139,53,53,79,7
795,費洛美螂,Bug,Fighting,570,71,137,37,137,37,151,7
796,電束木,Electric,,570,83,89,71,173,71,83,7
797,鐵火輝夜,Steel,Flying,570,97,101,103,107,101,61,7
798,紙御劍,Grass,Steel,570,59,181,131,59,31,109,7
799,惡食大王,Dark,Dragon,570,223,101,53,97,53,43,7
800,奈克洛茲瑪-Ultra,Psychic,Dragon,754,97,167,97,167,97,129,7
800,奈克洛茲瑪-Dusk,Psychic,Steel,680,97,157,127,113,109,77,7
800,奈克洛茲瑪-Dawn,Psychic,Ghost,680,97,113,109,157,127,77,7
800,奈克洛茲瑪,Psychic,,600,97,107,101,127,89,79,7
801,瑪機雅娜,Steel,Fairy,600,80,95,115,130,115,65,7
802,瑪夏多,Fighting,Ghost,600,90,125,80,90,90,125,7
803,毒貝比,Poison,,420,67,73,67,73,67,73,7
804,四顎針龍,Poison,Dragon,540,73,73,73,127,73,121,7
805,壘磊石,Rock,Steel,570,61,131,211,53,101,13,7
806,砰頭小丑,Fire,Ghost,570,53,127,53,151,79,107,7
807,捷拉奧拉,Electric,,600,88,112,75,102,80,143,7
